Type → Name Bigrams
================================================================================

Format: (node_type, node_name)
('prompt.text', '主選單')
('flow.module.begin', '執行SQL指令(更新)')
('trace', '(成功)看DBModule')
('flow.begin', '[API] 取得手機條碼')
('flow.begin', '新增員工的手機條碼')
('flow.begin', '[API] 手機條碼設定')
('prompt.text', '手機條碼申請教學')
('function', '判斷回傳Data是否存在')
('sending.message', '無法辨識輸入內容')
('trace', '(失敗)看DBModule')
('flow.end.current', '結束目前的腳本')
('variable', '設定假資料(有設定)')
('prompt.text', '手機條碼已設定')
('variable', '變數初始')
('function', '處理回傳結果')
('flow.begin', '主選單')
('flow.module.begin', '執行SQL指令')
('flow.module.end', '回傳結果')
('variable', '判斷是否為測試模式')
('sending.message', '手機條碼修改完成')
('variable', '判斷是否已有綁定手機條碼')
('flow.begin', '查詢員工的手機條碼')
('function', '組SQL')
('flow.switch', '手機條碼申請教學')
('trace', '輸入參數')
('flow.module.begin', '呼叫圖片生成模組')
('custom', '上傳附件插件')
('prompt.text', '成功提示')
('flow.module.begin', '呼叫「LLM 模組」模組')
('function', '整理檔案對應')
('trace', '整理後的llmMessages')
('variable', '判斷是否有引擎設定')
('prompt.text', '詢問是否要重新上傳')
('trace', '插件結果')
('prompt.text', '輸入訊息')
('request.raw', '呼叫聊天完成 API')
('sending.message', '轉換中請稍候-3秒')
('flow.module.begin', '呼叫 FunctionCall 處理模組')
('trace', '輸入參數')
('custom', 'FileCovertBase64Plugin')
('variable', '判斷輸入文字或附件')
('function', '整理檔案與Base64String')
('variable', '判斷有無files')
('trace', '輸入參數')
('prompt.text', '未命名')
('flow.module.begin', '呼叫語音轉文字模組')
('flow.module.begin', '呼叫檔案轉圖片模組')
('variable', '判斷是否有圖片生成模型')
('trace', '輸入參數')
('trace', '輸入參數')
('trace', 'fewShotPrompt')
('flow.module.begin', 'LLM')
('flow.begin', 'PPT產生器')
('variable', '判斷有無說服成功')
('trace', '取得的檔案')
('sending.message', '不等待')
('variable', '清空附件資料')
('sending.message', '錯誤訊息')
('variable', '判斷成功或失敗')
('sending.message', '超過 retry 上限')
('sending.message', '轉換中請稍候-3秒')
('function', '將檔案或輸入文字組進對話紀錄中')
('trace', 'systemPrompt')
('flow.module.end', '結束目前模組')
('prompt.text', '模擬資料')
('flow.module.end', '結束目前的模組')
('variable', 'TEMP')
('variable', '初始變數')
('variable', '等待時間為30秒,60秒就詢問使用者是否要繼續等待')
('flow.module.begin', '呼叫呼叫 API 後判斷模組')
('trace', '確認替換後的imageFiles')
('function', '整合voiceFileLinks的wavFile')
('flow.module.end', '結束目前的模組')
('function', '由大語言模型列表取模型')
('flow.module.begin', '呼叫呼叫 API 後判斷模組')
('trace', '輸入參數')
('flow.module.begin', '支票OCR')
('function', '轉成特定json格式')
('variable', '是否還有檔案要處理')
('trace', '偵錯')
('flow.begin', '回首頁')
('sending.message', '詠唱中')
('prompt.text', '選單')
('function', '確認任務狀況')
('sending.message', '轉換中請稍候-10秒')
('prompt.text', 'Azure檔案上傳失敗')
('flow.module.begin', '判斷 API 呼叫結果')
